recno,T17ID,oldID,RAJ2000,DEJ2000,Prob,Rgc,PA,umag,gmag,rmag,imag,zmag,e_umag,s_umag,e_gmag,s_gmag,e_rmag,s_rmag,e_imag,s_imag,e_zmag,s_zmag
1425,T17-1425," ",201.28954166666665,-45.70509444444444,1.0,161.22,182.3,22.81,20.9,20.09,19.59,19.51,0.03,0.1,0.02,0.06,0.01,0.09,0.01,0.03,0.01,0.04
1201,T17-1201," ",201.16566666666665,-45.71778888888888,0.5,162.36,186.04,21.06,19.43,18.77,18.43,18.44,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
1354,T17-1354," ",201.25633333333332,-45.61295555555555,1.0,155.77,183.43,21.11,19.78,19.28,18.95,18.95,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.03
1254,T17-1254," ",201.20549999999997,-45.554763888888886,1.0,152.44,185.14,23.42,21.86,20.92,20.35,20.15,0.04,0.13,0.04,0.11,0.02,0.1,0.02,0.06,0.02,0.06
1032,T17-1032," ",200.97499999999997,-45.44770555555555,1.0,147.58,192.9,24.18,22.11,21.31,20.87,20.79,0.07,0.19,0.04,0.13,0.03,0.12,0.03,0.08,0.04,0.1
1083,T17-1083," ",201.04025,-45.359647222222215,1.0,141.78,191.17,21.02,19.93,19.35,18.97,18.95,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
981,T17-0981," ",200.88641666666663,-45.41809166666666,1.0,146.78,195.87,21.59,19.53,18.63,18.07,17.92,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
995,T17-0995," ",200.89887499999998,-45.40555555555555,1.0,145.89,195.55,22.56,21.35,20.55,20.13,19.88,0.02,0.1,0.02,0.07,0.02,0.09,0.01,0.05,0.02,0.05
1026,T17-1026," ",200.96962499999998,-45.378674999999994,1.0,143.55,193.42,23.02,21.09,20.17,19.74,19.63,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.04,0.01,0.05
1152,T17-1152," ",201.11041666666665,-45.27841666666666,1.0,136.42,189.1,22.33,20.5,19.69,19.14,19.03,0.02,0.09,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.03
1058,T17-1058," ",201.01149999999998,-45.26840277777777,1.0,136.61,192.59,21.25,19.67,19.04,18.66,18.62,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.03
1126,T17-1126," ",201.08812499999996,-45.20978888888888,1.0,132.49,190.17,23.35,21.25,20.47,19.95,19.79,0.04,0.13,0.02,0.07,0.01,0.09,0.01,0.04,0.01,0.05
901,T17-0901," ",200.7783333333333,-45.37969166666666,1.0,145.94,199.49,23.41,21.85,20.79,20.21,20.08,0.04,0.13,0.04,0.11,0.02,0.1,0.02,0.06,0.02,0.06
876,T17-0876," ",200.72129166666664,-45.35905555555555,1.0,145.61,201.38,20.27,18.85,18.25,17.85,17.77,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
844,T17-0844," ",200.66779166666663,-45.245436111111104,1.0,139.98,203.98,23.18,21.7,20.82,20.38,20.27,0.04,0.12,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.07
939,T17-0939,H12-033,200.83054166666665,-45.28146388888888,1.0,139.48,198.56,22.46,21.14,20.54,20.03,20.04,0.02,0.09,0.02,0.06,0.02,0.09,0.01,0.05,0.02,0.06
1056,T17-1056," ",201.00904166666663,-45.234472222222216,1.0,134.63,192.86,22.39,20.61,20.13,19.81,19.61,0.02,0.09,0.01,0.05,0.01,0.09,0.01,0.04,0.01,0.05
1099,T17-1099," ",201.0505833333333,-45.19195555555555,1.0,131.73,191.61,23.06,21.47,20.7,20.12,19.99,0.03,0.11,0.03,0.08,0.02,0.1,0.01,0.05,0.02,0.06
902,T17-0902," ",200.7788333333333,-45.26704444444444,1.0,139.39,200.33,22.89,21.4,20.63,20.23,20.1,0.03,0.1,0.03,0.08,0.02,0.09,0.02,0.06,0.02,0.06
915,T17-0915," ",200.8038333333333,-45.230308333333326,1.0,136.88,199.82,22.09,19.93,19.05,18.46,18.31,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.02
976,T17-0976," ",200.88066666666663,-45.08786666666666,1.0,127.48,198.35,22.03,20.73,20.21,19.79,19.76,0.01,0.09,0.02,0.05,0.01,0.09,0.01,0.04,0.01,0.05
1033,T17-1033," ",200.9757083333333,-45.06037222222221,1.0,124.68,195.11,23.4,21.87,20.99,20.35,20.24,0.05,0.13,0.04,0.11,0.02,0.1,0.02,0.06,0.02,0.07
1043,T17-1043," ",200.99166666666665,-45.06238055555555,1.0,124.63,194.51,23.25,21.77,20.76,20.11,19.99,0.04,0.12,0.04,0.09,0.02,0.1,0.01,0.05,0.02,0.06
1062,T17-1062," ",201.01629166666663,-45.04319444444444,1.0,123.23,193.71,23.06,21.47,20.82,20.36,20.27,0.03,0.11,0.03,0.08,0.02,0.1,0.02,0.06,0.02,0.07
2471,T17-2471," ",202.37762499999997,-45.76184166666666,1.0,175.42,152.11,21.54,20.01,19.34,18.91,18.89,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2490,T17-2490," ",202.42695833333332,-45.751886111111105,1.0,175.91,150.89,22.38,20.92,20.39,19.99,19.91,0.02,0.09,0.02,0.06,0.01,0.09,0.01,0.04,0.02,0.05
2507,T17-2507," ",202.45604166666664,-45.608483333333325,1.0,168.59,148.94,23.0,21.01,20.2,19.75,19.67,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.04,0.01,0.05
2502,T17-2502," ",202.44999999999996,-45.56386666666666,1.0,165.98,148.66,23.14,21.1,20.33,19.94,19.84,0.04,0.12,0.02,0.06,0.01,0.09,0.01,0.04,0.02,0.05
1885,T17-1885," ",201.50508333333332,-45.690461111111105,1.0,160.5,175.71,20.57,19.05,18.39,18.03,18.06,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2209,T17-2209," ",201.88291666666663,-45.60133888888888,1.0,158.02,164.01,23.58,21.98,20.81,20.2,20.07,0.06,0.14,0.04,0.11,0.02,0.1,0.02,0.05,0.02,0.06
2124,T17-2124," ",201.75633333333332,-45.51161388888888,1.0,151.38,167.37,23.38,21.48,20.47,20.0,19.89,0.06,0.13,0.03,0.08,0.02,0.09,0.01,0.05,0.02,0.05
2206,T17-2206," ",201.88174999999998,-45.42755833333333,1.0,147.79,163.0,23.39,22.22,21.59,21.13,21.13,0.04,0.13,0.05,0.14,0.04,0.12,0.03,0.1,0.05,0.11
2376,T17-2376," ",202.17904166666665,-45.69463055555555,1.0,167.8,156.46,21.65,20.14,19.5,19.09,19.09,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.03
2366,T17-2366," ",202.1607083333333,-45.6848361111111,1.0,166.92,156.87,22.51,21.07,20.59,20.13,20.08,0.02,0.09,0.02,0.06,0.02,0.09,0.01,0.05,0.02,0.06
2356,T17-2356," ",202.14691666666664,-45.68064166666666,1.0,166.44,157.2,22.46,20.58,19.61,19.0,18.91,0.02,0.09,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.03
2423,T17-2423," ",202.28787499999999,-45.588247222222215,1.0,163.79,152.83,22.42,20.95,20.27,19.74,19.69,0.02,0.09,0.02,0.06,0.01,0.09,0.01,0.04,0.01,0.05
2381,T17-2381," ",202.18654166666664,-45.5774,1.0,161.22,155.36,21.95,19.99,19.18,18.68,18.59,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2332,T17-2332," ",202.09937499999998,-45.59834166666666,1.0,160.9,157.86,20.74,19.29,18.68,18.26,18.27,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2373,T17-2373," ",202.17208333333332,-45.53849166666666,1.0,158.73,155.42,22.73,20.75,19.81,19.23,19.05,0.03,0.1,0.02,0.05,0.01,0.08,0.01,0.03,0.01,0.03
2421,T17-2421," ",202.2830833333333,-45.4131861111111,1.0,153.84,151.35,23.16,21.37,20.72,20.3,20.21,0.03,0.12,0.02,0.07,0.02,0.1,0.02,0.06,0.02,0.07
2433,T17-2433," ",202.30162499999997,-45.407513888888886,1.0,153.93,150.81,23.21,21.43,20.74,20.24,20.18,0.04,0.12,0.02,0.08,0.02,0.1,0.02,0.06,0.02,0.07
2515,T17-2515," ",202.48916666666665,-45.51116944444444,1.0,164.03,147.23,23.04,21.26,20.52,20.15,20.03,0.04,0.11,0.02,0.07,0.02,0.09,0.02,0.05,0.02,0.06
2479,T17-2479," ",202.39904166666665,-45.51761666666666,1.0,162.24,149.43,21.93,19.91,19.3,18.83,18.77,0.01,0.09,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2518,T17-2518," ",202.5057083333333,-45.44765833333333,1.0,160.98,146.2,23.55,21.73,20.85,20.39,20.26,0.06,0.14,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.07
2601,T17-2601," ",202.66762499999996,-45.35432777777777,1.0,160.44,141.56,21.6,20.42,19.84,19.43,19.38,0.01,0.08,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.04
2600,T17-2600," ",202.66666666666663,-45.3468611111111,1.0,160.02,141.49,21.97,20.35,19.7,19.29,19.27,0.01,0.09,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.04
2460,T17-2460," ",202.35862499999996,-45.436005555555546,1.0,156.79,149.64,23.49,21.47,20.61,20.12,20.03,0.05,0.13,0.03,0.08,0.02,0.09,0.02,0.05,0.02,0.06
2371,T17-2371," ",202.16624999999996,-45.48868888888888,1.0,155.78,155.17,21.36,19.66,18.98,18.6,18.59,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.03
2402,T17-2402," ",202.23487499999996,-45.35133055555555,1.0,149.35,152.05,23.05,21.04,20.19,19.72,19.64,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.04,0.01,0.05
2279,T17-2279," ",201.99054166666664,-45.41517777777777,1.0,148.58,159.6,23.27,21.52,20.74,20.28,20.16,0.04,0.12,0.03,0.08,0.02,0.1,0.02,0.06,0.02,0.07
2342,T17-2342," ",202.1243333333333,-45.264172222222214,1.0,142.2,154.34,23.5,21.58,20.44,19.89,19.66,0.05,0.13,0.03,0.08,0.01,0.09,0.01,0.04,0.01,0.05
2352,T17-2352," ",202.14154166666663,-45.24707777777777,1.0,141.56,153.66,22.27,20.74,19.64,19.15,18.94,0.02,0.09,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.03
2454,T17-2454," ",202.3430833333333,-45.27316111111111,1.0,147.42,148.34,21.92,20.52,19.86,19.46,19.42,0.01,0.08,0.01,0.05,0.01,0.09,0.01,0.03,0.01,0.04
2511,T17-2511," ",202.4760833333333,-45.263099999999994,0.33,150.24,144.88,21.68,19.96,19.23,18.9,18.85,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2545,T17-2545," ",202.5758333333333,-45.19275555555555,1.0,149.29,141.68,23.23,21.32,20.46,19.99,19.84,0.04,0.12,0.02,0.07,0.01,0.09,0.01,0.04,0.01,0.05
2492,T17-2492," ",202.42933333333332,-45.23053611111111,1.0,147.25,145.65,21.77,20.48,19.87,19.51,19.47,0.01,0.08,0.01,0.05,0.01,0.09,0.01,0.03,0.01,0.04
2505,T17-2505," ",202.45499999999998,-45.18735555555555,1.0,145.61,144.5,24.15,22.12,21.33,20.89,20.74,0.09,0.19,0.05,0.13,0.03,0.12,0.03,0.08,0.03,0.09
2517,T17-2517," ",202.5028333333333,-45.17933055555555,1.0,146.49,143.23,21.53,19.67,18.94,18.56,18.46,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2428,T17-2428," ",202.29366666666664,-45.252708333333324,1.0,145.14,149.44,23.09,21.18,20.37,19.97,19.88,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.04,0.02,0.05
2467,T17-2467," ",202.36766666666665,-45.218263888888885,1.0,145.01,147.09,21.76,20.32,19.73,19.35,19.29,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.04
2459,T17-2459," ",202.35845833333332,-45.15989999999999,1.0,141.6,146.65,23.4,21.74,20.9,20.38,20.17,0.05,0.13,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.07
2504,T17-2504," ",202.45404166666663,-45.0928,1.0,140.53,143.36,23.86,21.79,20.9,20.42,20.32,0.06,0.16,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.07
2475,T17-2475," ",202.38979166666664,-45.10320555555555,1.0,139.34,145.14,22.82,21.3,20.62,20.25,20.17,0.03,0.1,0.02,0.07,0.02,0.09,0.02,0.06,0.02,0.07
2668,T17-2668," ",202.81191666666663,-45.456649999999996,1.0,170.08,139.76,21.9,20.36,19.75,19.31,19.22,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.04
2627,T17-2627," ",202.73937499999997,-45.43188055555555,1.0,166.6,140.93,23.43,21.76,20.93,20.36,20.14,0.05,0.13,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.06
2662,T17-2662," ",202.80541666666664,-45.35653055555555,1.0,164.73,138.75,23.27,21.39,20.51,20.02,19.88,0.04,0.12,0.03,0.07,0.02,0.09,0.01,0.05,0.02,0.05
2755,T17-2755," ",203.0055833333333,-45.289561111111105,1.0,168.07,134.24,22.63,20.76,19.82,19.3,19.18,0.02,0.1,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.04
2744,T17-2744," ",202.9780833333333,-45.287302777777775,1.0,167.0,134.69,22.78,21.54,20.94,20.6,20.52,0.03,0.1,0.03,0.08,0.02,0.1,0.02,0.06,0.03,0.08
2794,T17-2794," ",203.06466666666662,-45.26204444444444,1.0,168.85,132.89,22.19,20.74,20.15,19.81,19.69,0.02,0.09,0.02,0.05,0.01,0.09,0.01,0.04,0.01,0.05
2772,T17-2772," ",203.03049999999996,-45.27624444444444,1.0,168.3,133.64,22.27,20.77,20.12,19.79,19.59,0.02,0.09,0.01,0.05,0.01,0.09,0.01,0.04,0.01,0.05
2756,T17-2756," ",203.00599999999997,-45.21681388888888,1.0,164.56,133.33,22.14,20.55,19.87,19.51,19.43,0.02,0.09,0.01,0.05,0.01,0.09,0.01,0.03,0.01,0.04
2759,T17-2759," ",203.0108333333333,-45.21297499999999,1.0,164.55,133.2,20.69,19.07,18.53,18.2,18.16,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2778,T17-2778," ",203.04362499999996,-45.20047777777777,1.0,165.15,132.48,23.81,21.82,20.93,20.54,20.4,0.06,0.16,0.04,0.11,0.02,0.1,0.02,0.06,0.02,0.08
2631,T17-2631," ",202.74749999999997,-45.317338888888884,1.0,160.92,139.46,23.54,21.61,20.48,19.93,19.71,0.06,0.14,0.03,0.09,0.02,0.09,0.01,0.04,0.01,0.05
2641,T17-2641," ",202.76716666666664,-45.27810555555555,1.0,159.53,138.59,23.99,22.04,21.18,20.73,20.66,0.08,0.17,0.04,0.13,0.03,0.11,0.02,0.07,0.03,0.09
