 redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err sdss.up sdss.up_err sdss.gp sdss.gp_err sdss.rp sdss.rp_err sdss.ip sdss.ip_err sdss.zp sdss.zp_err
0.001825 T17-2421 6.449510e-03 3.224755e-03 8.105765e-03 4.052883e-03 5.209005e-03 2.604503e-03 1.404648e-02 7.023240e-03 2.847233e-02 7.183804e-03 2.943658e-02 3.634934e-03 2.991898e-02 1.108611e-02 2.967923e-03 8.200676e-05 1.407780e-02 2.593226e-04 2.336169e-02 4.303382e-04 3.245761e-02 5.978912e-04 3.398105e-02 6.259541e-04
0.001825 T17-2433 7.529236e-03 3.764618e-03 1.096720e-02 5.483601e-03 1.581172e-02 7.905862e-03 1.797715e-02 8.988577e-03 9.225662e-03 4.612831e-03 2.017839e-02 3.947861e-03 7.169293e-03 3.584646e-03 2.834700e-03 1.044342e-04 1.332223e-02 2.454045e-04 2.293686e-02 4.225126e-04 3.430350e-02 6.318939e-04 3.493445e-02 6.435163e-04
0.001825 T17-2515 2.197126e-03 1.098563e-03 0.000000e+00 9.900000e+01 1.306989e-02 6.534943e-03 2.975666e-02 9.984233e-03 1.189908e-02 5.949539e-03 3.745995e-02 3.555343e-03 3.108319e-02 9.462347e-03 3.458085e-03 1.274006e-04 1.609750e-02 2.965268e-04 2.874464e-02 5.294958e-04 3.790920e-02 6.983133e-04 4.064335e-02 7.486783e-04
0.001825 T17-2479 2.350995e-02 9.787628e-03 1.750263e-02 8.751315e-03 3.737216e-02 1.161485e-02 4.361266e-02 1.049033e-02 6.628378e-02 9.011506e-03 1.122868e-01 3.989963e-03 1.460126e-01 1.115895e-02 9.403880e-03 8.661294e-05 5.487641e-02 5.054304e-04 8.736675e-02 8.046775e-04 1.267344e-01 1.167267e-03 1.288272e-01 1.186543e-03
0.001825 T17-2518 9.515956e-03 4.757978e-03 0.000000e+00 9.900000e+01 7.328641e-03 3.664321e-03 1.603026e-02 8.015129e-03 1.094812e-02 5.474062e-03 3.030569e-02 3.733480e-03 2.942529e-02 9.654884e-03 2.112030e-03 1.167151e-04 1.025454e-02 2.833433e-04 2.094181e-02 3.857624e-04 3.010572e-02 5.545679e-04 3.264508e-02 6.013446e-04
0.001825 T17-2601 3.151765e-02 8.380908e-03 1.365098e-02 6.825492e-03 3.477461e-02 1.082010e-02 3.337035e-02 9.967600e-03 4.671131e-02 8.495751e-03 7.128450e-02 3.955738e-03 8.319672e-02 1.005988e-02 1.343415e-02 1.237331e-04 3.573606e-02 3.291413e-04 5.468530e-02 5.036702e-04 7.449875e-02 6.861588e-04 7.467495e-02 6.877817e-04
0.001825 T17-2600 1.388374e-02 6.941871e-03 0.000000e+00 9.900000e+01 1.759401e-02 8.797004e-03 3.169840e-02 9.714138e-03 5.517905e-02 8.084432e-03 7.608452e-02 3.405909e-03 9.280674e-02 1.020698e-02 9.550953e-03 8.796753e-05 3.810485e-02 3.509586e-04 6.219869e-02 5.728711e-04 8.473892e-02 7.804743e-04 8.262734e-02 7.610259e-04
0.001825 T17-2460 4.666129e-03 2.333065e-03 3.318591e-03 1.659295e-03 6.073066e-03 3.036533e-03 1.330147e-02 6.650734e-03 1.941135e-02 7.229934e-03 3.210274e-02 3.629885e-03 3.519584e-02 9.820473e-03 2.207550e-03 1.016614e-04 1.291844e-02 3.569498e-04 2.596541e-02 4.783005e-04 3.843384e-02 7.079774e-04 4.020860e-02 7.406697e-04
0.001825 T17-2371 2.887957e-02 9.849189e-03 3.657546e-02 1.596004e-02 3.576997e-02 1.230104e-02 4.247787e-02 1.032643e-02 7.001903e-02 7.683842e-03 1.124168e-01 4.959625e-03 1.206308e-01 1.328789e-02 1.591493e-02 1.465819e-04 6.914658e-02 6.368635e-04 1.173865e-01 1.081170e-03 1.567095e-01 1.443348e-03 1.521120e-01 1.401003e-03
0.001825 T17-2402 1.083362e-02 5.416812e-03 3.645395e-02 1.246624e-02 4.038855e-03 2.019427e-03 1.443356e-02 7.216782e-03 2.651137e-02 8.427074e-03 4.128196e-02 3.448905e-03 6.020704e-02 9.687057e-03 3.276335e-03 9.052849e-05 1.904194e-02 3.507654e-04 3.801212e-02 3.501046e-04 5.532054e-02 5.095210e-04 5.739892e-02 5.286636e-04
0.001825 T17-2279 4.216815e-03 2.108407e-03 3.856575e-03 1.928287e-03 9.925871e-03 4.962935e-03 2.601756e-02 9.430876e-03 2.539398e-02 7.649928e-03 3.709304e-02 3.523585e-03 4.044841e-02 9.317303e-03 2.798078e-03 1.030850e-04 1.267001e-02 3.500853e-04 2.347308e-02 4.323900e-04 3.363213e-02 6.195267e-04 3.605762e-02 6.642059e-04
0.001825 T17-2342 1.361385e-03 6.806925e-04 2.439832e-02 1.219916e-02 2.053654e-02 1.026827e-02 1.159195e-02 5.795976e-03 2.155833e-02 8.344590e-03 3.804362e-02 3.774210e-03 4.644384e-02 1.041800e-02 2.217411e-03 1.021155e-04 1.179785e-02 3.259865e-04 3.059433e-02 2.817842e-04 4.776526e-02 4.399343e-04 5.677751e-02 5.229402e-04
0.001825 T17-2352 7.460160e-03 3.730080e-03 2.414834e-02 1.207417e-02 1.709549e-02 8.547744e-03 2.111607e-02 8.811127e-03 3.527915e-02 7.563010e-03 8.776454e-02 3.605637e-03 1.068525e-01 1.024020e-02 6.881904e-03 1.267694e-04 2.556798e-02 2.354898e-04 6.390955e-02 5.886287e-04 9.441839e-02 8.696255e-04 1.101878e-01 1.014867e-03
0.001825 T17-2454 1.161937e-02 5.809683e-03 0.000000e+00 9.900000e+01 3.507496e-02 1.237001e-02 2.314549e-02 1.053931e-02 4.859400e-02 7.557399e-03 6.309632e-02 3.419198e-03 7.792402e-02 9.372729e-03 9.301683e-03 8.567167e-05 3.080483e-02 2.837230e-04 5.158978e-02 4.751595e-04 7.036561e-02 6.480912e-04 7.035110e-02 6.479576e-04
0.001825 T17-2545 0.000000e+00 9.900000e+01 0.000000e+00 9.900000e+01 9.900256e-03 4.950128e-03 1.489337e-02 7.446683e-03 2.839781e-02 7.955458e-03 4.463015e-02 3.615308e-03 4.781568e-02 9.028243e-03 2.780840e-03 1.024499e-04 1.473400e-02 2.714103e-04 2.967242e-02 2.732931e-04 4.317225e-02 3.976311e-04 4.776945e-02 4.399729e-04
0.001825 T17-2492 7.708263e-03 3.854131e-03 1.603607e-02 8.018037e-03 2.990936e-02 1.161631e-02 3.605644e-02 8.731200e-03 3.556912e-02 8.301647e-03 6.304249e-02 3.715936e-03 6.048070e-02 1.036417e-02 1.066901e-02 9.826525e-05 3.193600e-02 2.941414e-04 5.108867e-02 4.705440e-04 6.717130e-02 6.186706e-04 6.716361e-02 6.185997e-04
