       id  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.stellar.metallicity  bayes.stellar.metallicity_err  bayes.stellar.m_star  bayes.stellar.m_star_err             bayes.F0378         bayes.F0378_err             bayes.F0395         bayes.F0395_err             bayes.F0410         bayes.F0410_err             bayes.F0430         bayes.F0430_err             bayes.F0515         bayes.F0515_err             bayes.F0660         bayes.F0660_err             bayes.F0861         bayes.F0861_err           bayes.sdss.gp       bayes.sdss.gp_err           bayes.sdss.ip       bayes.sdss.ip_err           bayes.sdss.rp       bayes.sdss.rp_err           bayes.sdss.up       bayes.sdss.up_err           bayes.sdss.zp       bayes.sdss.zp_err     best.chi_square  best.reduced_chi_square  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs      best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young              best.F0378              best.F0395              best.F0410              best.F0430              best.F0515              best.F0660              best.F0861            best.sdss.up            best.sdss.gp            best.sdss.rp            best.sdss.ip            best.sdss.zp 
 T17-2421         5755.267387136347            2425.2018863552903       0.019393059588401214           0.010117175100424985    444883.90646111045          96207.7017417479   0.0040144334695529915   0.0003072628056924098   0.0046247804491369665  0.00044303614315335327   0.0076853224848072626   0.0004951279578513133    0.009101906247425497   0.0005397573577394056    0.015470379050855736   0.0002991624662589905     0.02537982779612062   0.0006347653669710987     0.03561067473304134   0.0013106630126840386    0.012657028012675164   0.0003784957848882185    0.030669832148037958   0.0009499365218764734      0.0235289729576207  0.00047499985362368463     0.00319233676210373  0.00022545116126964084     0.03752517311409319   0.0013713836732119216   8.456435626811114       0.7687668751646467       10000.0                20.0            10000.0               0.0                50.0             5000.0        4440.586522772986               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    689116.3898955982   6.281229462895183e-05   6.312317363407925e-05   6.284055732262962e-05   1.496310322373438e+32    3.79028897687355e+29    3.789797970370783e+29      4.910065027666865e+25  1.4959976372314072e+32  3.1268514203075994e+28  260494.53228790895      260474.95746441078         19.57482349816655    428621.8576076901       428578.62013655936         43.237471130785295  4.1647204161521565e+46   4.164300227171334e+46   4.2018898082204254e+42    0.004054616716173267    0.004797295741382176     0.00792595293322124    0.009491067115446564     0.01578232585140058    0.025528552144791602    0.035260681801400975   0.0031580260025284826    0.013001297003640565    0.023775362163851208     0.03053005724831791     0.03726814828084546 
 T17-2433        3790.1380509430032             1954.145021925527       0.020201014210721097           0.009821964763027146     264704.4025570267         61574.41247883791    0.003957791797413367  0.00028463515725824943    0.004729253406170093  0.00044137626368255436    0.007429665404777867  0.00047360041228680134    0.008607929125543715   0.0004760856183470533    0.013617322385501304  0.00031350266994798647     0.02083430947978519   0.0006648598926148095       0.028591682861262   0.0010403894802055711    0.011364846068182284  0.00035722913781168744    0.024854036533600736   0.0008025480500208376     0.01956906702540251   0.0005619653498370797    0.003089714310342059   0.0002072797264911043     0.03017716834802657   0.0011098749876216226    51.1686877455516        4.651698885959236        5000.0                20.0             5000.0               0.0                50.0             5000.0       1910.4839034524405               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    344048.5034002248   9.581097355170521e-05   9.580442638696955e-05   9.581090161639304e-05  1.2076203118197584e+32  2.4214631530197964e+29    2.420714194375184e+29      7.489586446123964e+25   1.207143356343922e+32   4.769554758362797e+28  118974.62939072338      118944.77085892574        29.858531797653413   225073.87400950125        225007.9215677472           65.9524417540518   2.319032517408505e+46  2.3183915805415096e+46     6.40936866995182e+42     0.00410845858924566    0.004955983311668788    0.007780717922276224    0.009110962618629502     0.01407019902524694     0.02095137683436497    0.027721544017772777     0.00315731572440492     0.01182619194780171    0.019841313622729773    0.024498245102134015     0.02924100819602267 
 T17-2515         6400.251864915745            2392.8953013262785        0.01968840437756406           0.009509074482680973     593629.2329126707         120935.6423199738    0.004331712912452495   0.0003654873395845718    0.004933897577138099   0.0005031470505507545     0.00844443501526346   0.0005551077059472654      0.0101101851741261   0.0005945569695967629     0.01773145192852657   0.0003203201512459554    0.029979370151241348   0.0007000974099236608     0.04254134570446602      0.0015640891744512    0.014394065268820363   0.0004067111787056892     0.03644891406967929   0.0011042285441325492     0.02764039835003738   0.0004995536309145851    0.003470437199322901    0.000268441495892986     0.04483116951221898   0.0016509497612583232  13.822066594424543       1.2565515085840493       13000.0                20.0            13000.0               0.0                50.0             5000.0         6283.99267485486               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1054039.4229715886   5.557552435796225e-05   5.591493044888316e-05   5.560631047457188e-05  1.7880139786920875e+32  5.4698346973620934e+29    5.469400261014629e+29      4.344363474638947e+25   1.787737318830671e+32   2.766598614165828e+28   412374.8153301505       412357.4957737396        17.319556410915354    641664.6076414397        641626.3516734927           38.2559679470469   7.450851166476403e+46   7.450479388577243e+46   3.7177789916082934e+42    0.004299064711355305    0.005056804540135546     0.00859511265842291     0.01042056097734082    0.017975690160832832    0.030269371800750445     0.04257597887174207   0.0033691800411871317    0.014682150177112264    0.027977877276184906    0.036547160095230756    0.045043923740933495 
 T17-2479         6189.640643058212            2106.0627864264657        0.02346584094123927           0.007838999818809757    2084895.8180096173        382297.80723749555    0.013329979061935171   0.0010725878448307464    0.015213869715079166   0.0014770794335001332    0.026578552133528326   0.0016458093127200554     0.03222353684426415   0.0017552839549957325     0.05749596285890602   0.0009550867795177795     0.09909827033105688    0.001993208904595909     0.14151416727930172    0.004775674253997002     0.04649717352543981   0.0011953192773422854     0.12079338127835723   0.0032982788388559348      0.0910912465580108    0.001365859127433672    0.010664589537215469    0.000758668267393007      0.1493660512095906    0.005056496694299473   11.04181279149089       1.0038011628628083       13000.0                20.0            13000.0               0.0                50.0             5000.0         6283.99267485486               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    3429688.106808578  0.00018083452171341728  0.00018193889884395012  0.00018093469517532938   5.817932559143981e+32  1.7798031647491174e+30    1.779661805598635e+30     1.4135915048240476e+26  5.8170323489472344e+32   9.002101967464453e+28   1341806.548087076      1341750.1928167294        56.355270346769366   2087881.5587215072       2087757.0794701406         124.47925136664794   2.424396571356112e+47  2.4242756003363063e+47    1.209710198060158e+43    0.013988519584369643    0.016454092713974314    0.027967223064736833     0.03390696142038202    0.058490232350584606     0.09849205086933362      0.1385359268256545    0.010962812647348021    0.047773541242751696      0.0910358672139228     0.11891904380849772      0.1465662537580782 
 T17-2518         7339.470592274243            2156.7531968809885       0.022678126661524387            0.00709917895399114     577631.8033952948        114228.79173579314    0.002712153071633786   0.0002629086222220692   0.0030486821905269046   0.0003114483439300905    0.005576596770665344   0.0003457709530001419    0.006859768558906047   0.0003291219109748785     0.01280694506328468  0.00016088959809598964    0.023002508128794497   0.0005535071467932215    0.033412630473313235   0.0012158325193748854    0.010254319913757026  0.00019856382079755283    0.028295879420030864   0.0008482961168827359     0.02098727831899231   0.0003959067158482363   0.0022016130966233728  0.00020080888201926168     0.03528216770815962   0.0013408488502708463   7.032551065159232       0.6393228241053847        7000.0                20.0             7000.0               0.0                50.0             1000.0         5015.67872205201               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    847615.4498266818   5.454928052294852e-06   5.692893058661611e-06   5.476023613575629e-06  1.3799726333337763e+32   3.605447378363647e+29    3.605404736948275e+29        4.2641415372949e+24  1.3799454782208659e+32  2.7155112910223186e+27   330563.3883792581      330561.68840547994         1.699973778217168    517052.0614474245        517048.3064931504         3.7549542740776847    3.93560118443513e+46  3.9355646931610527e+46   3.6491274077652534e+41   0.0027077579712696045    0.003074462005710492   0.0055932245045242105    0.006955325740960132    0.012925067904413562      0.0231287793973561     0.03347326467227012    0.002165839633071999    0.010344139456970953    0.021134485966172793    0.028361710382417447     0.03544630481566728 
 T17-2601         6511.154668778185            2581.6898637672957       0.000619698854095318           0.001255687055005885     690775.3818506664        249579.91074615525     0.01667862588123522   0.0006404324108646028     0.02100403529917822   0.0017781411787081186    0.027939232453758952   0.0017859365702962218    0.030140422341119015   0.0014231213256266154     0.04545877526050076   0.0008123644402622411     0.06274516994295062   0.0013216898117546106     0.07725085919601468   0.0020729028040464975    0.038216174641095356   0.0010044666160913581     0.07154719751243663   0.0012734251313760397     0.05947813291912744   0.0010957414106930786    0.012631161257633918  0.00035784697670385347      0.0787064369559754    0.002639606494034047    7.41256887312128       0.6738698975564801        8000.0                20.0             8000.0               0.0                50.0              500.0         6995.04213961534               1.0                    0.0004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1567932.0230092152   5.656929588553947e-09  6.2160222709589656e-09   5.704942913781567e-09    3.24611340483918e+32   1.327279730874282e+30   1.3272797236848872e+30      7.189394830476866e+21   3.246113345126814e+32   5.971236615791102e+24     776640.63005164       776640.6277265287     0.0023251111994874434    791291.3929575749        791291.3896257565      0.0033318183890665037  2.8460487130562117e+47   2.846048697226217e+47   1.5829994834159335e+39    0.016428456211628282    0.019930499878702043     0.02669999356592802     0.02904346025514517    0.045159211565537226     0.06361788982286141     0.07783543869742565    0.012631618315681952     0.03753243320675304    0.060111603117042604      0.0723362144329023      0.0790581266944687 
 T17-2600         4623.791558712566             2311.534387842151       0.016411603871704764            0.01048358820177716     906725.2632525186        219186.99127522038    0.012520397216967299   0.0009095864710569962    0.014775619010886889    0.001437249706693978    0.023278292319571264   0.0016065491856301305    0.026902879249390686   0.0016699725153233066    0.043133730865364484   0.0009952355560251451      0.0667204377959729   0.0016585310603640221     0.09230667778306711    0.002727524877421837    0.035842922488846615   0.0012291421832303943      0.0800118499745085   0.0020820915142614137    0.062486293377172125   0.0013550428644964305    0.009847461716389914   0.0006670056947531865     0.09730524215354852     0.00277964137214586   5.747780936495388       0.5225255396813989        5000.0                20.0             5000.0               0.0                50.0             5000.0       1910.4839034524405               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1098567.5120078633  0.00030593018657984727  0.00030590928109005937   0.0003059299568860799   3.856004104929134e+32   7.731877119480404e+29    7.729485649595555e+29     2.3914698848478823e+26  3.8544811574805924e+32  1.5229474485417747e+29  379893.12934107415      379797.78925772844         95.34008334574361    718674.3826667886        718463.7925635545         210.59010323410368   7.404809954808043e+46   7.402763404939724e+46   2.0465498683188045e+43     0.01311855475599779    0.015824752040612754    0.024844299117809786    0.029091850239212288     0.04492698960716042      0.0668990031771563     0.08851655315935088    0.010081498526235274    0.037761740383188844     0.06335450474590186     0.07822436634494775     0.09336829343837562 
 T17-2460         8138.084612113257            1973.0418652435244       0.026054971363365702           0.005037399732157991     853453.3378526771        146415.54505848602    0.002897865446880265  0.00022919027867686584   0.0032639540574873113   0.0002562769418567998    0.006244007193398541  0.00029113359833069397    0.007847634336993014  0.00027144573623686595    0.015237474764082852   0.0001233754581739597    0.028464092934343543    0.000623326432208263    0.041908544780303994   0.0012933896672187785    0.012113184244761316   0.0001433654467558912     0.03523780039342558   0.0009251790196904517     0.02581029820746418   0.0004609252418370374    0.002364009621030414  0.00017940398017515934    0.044362495074835376   0.0014286184347640188   4.780900474822482       0.4346273158929529       12000.0                20.0            12000.0               0.0                50.0             2000.0        8118.742419634408               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1456133.4420081533  1.1024016313822607e-05  1.1254427503354688e-05  1.1044712204096066e-05  1.7092679426095483e+32   7.092388177109577e+29    7.092302001883395e+29      8.617522618251882e+24  1.7092130640841384e+32    5.48785254097086e+27   590090.3463803168       590086.9108558728         3.435524444039677    866043.0956278391        866035.5071359692           7.58849186978293  1.1707412099593693e+47  1.1707338353359668e+47    7.374623402685885e+41   0.0029706646145696114   0.0034134065102897574     0.00638289958361958    0.008033828094844176    0.015347444771051124    0.028441763030510964     0.04162130403837455   0.0023803658307442565    0.012251627710056811     0.02584281477049428     0.03507333440656628     0.04412416874425191 
 T17-2371         4367.296464938928             2153.758926192624       0.017149973691204926           0.010335919819351913     1484216.115672418        344465.42064353183     0.02123072305734692   0.0014492601607933473     0.02516258532829009    0.002284788203583332     0.03955640031833814   0.0025303367298554606    0.045700227275264065   0.0026063116341107345     0.07289339292485147   0.0015336561395335468     0.11227364528658024    0.002936642008123255     0.15514094700650227    0.004684236250256439     0.06066995944331119   0.0018971017138869931     0.13451380489520975     0.00361726431511767     0.10524612077260977   0.0024188720733781064     0.01666628273548961   0.0010782773657447805     0.16362650465194753    0.004782142267697056   8.710322913939788       0.7918475376308898        5000.0                20.0             5000.0               0.0                50.0             5000.0       1910.4839034524405               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1848224.6687502544   0.0005146954662065362   0.0005146602949116308   0.0005146950797708529   6.487322655761605e+32  1.3008072668971348e+30   1.3004049271603926e+30      4.023397367423286e+26  6.4847604563402324e+32   2.562199421372493e+29   639130.3633707664       638969.9636756778        160.39969508860494   1209094.3053794873       1208740.0096083693          354.2957711179313  1.2457816453055388e+47  1.2454373347455494e+47     3.44310559989264e+43    0.022070593070854023    0.026623486293400483     0.04179792867114895     0.04894398813362622     0.07558495001629525      0.1125505593742125     0.14891982090645017    0.016961064359259877     0.06353016937811351     0.10658731235717879     0.13160429559021472     0.15708236528542377 
 T17-2402         8356.277945214297            1959.3272886980649        0.02604539472947032           0.004990086542432217    1250169.3099365013         204320.0067033825    0.004068516407127323  0.00031338949974776375    0.004580728494394763   0.0003434769106420124    0.008818076385608083  0.00039786845221936233    0.011106652540892444   0.0003686065502431326    0.021679800162559257  0.00017530417916459406    0.040701115127742285   0.0008267060339979688     0.06003408551941688   0.0017206616966675167     0.01721917053225453  0.00019885907266993985    0.050434271082039385    0.001227318995124614    0.036875980387604965     0.00060860461056573   0.0033242060562497103  0.00024950131516896103     0.06355851854176922   0.0019082600655926643  16.227017066776227       1.4751833697069296        9000.0                20.0             9000.0               0.0                50.0             1000.0        6989.457938288325               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   2036300.8155091235  2.2665051753576525e-06  2.3691868032315066e-06   2.275596240837008e-06  2.4686128613577206e+32   9.871171459596511e+29    9.871153742224677e+29     1.7717371833475515e+24  2.4686015784950765e+32  1.1282862644274431e+27   819107.3791470877       819106.6728134148        0.7063336728484589   1217193.4363620356       1217191.8761905332         1.5601715025091938    1.22031079890155e+47  1.2203092827007721e+47   1.5162007777096061e+41   0.0040413077817815935    0.004565829992162368     0.00878424538617142    0.011142896260631833    0.021779169183847837    0.040922424602963324     0.06028792753631168   0.0032743821085945333     0.01727842493896952     0.03709157285585006     0.05064453236905659     0.06394669759169275 
