# redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
0.001825 T17-2421 6.449510e-03 3.224755e-03 8.105765e-03 4.052883e-03 5.209005e-03 2.604503e-03 1.404648e-02 7.023240e-03 2.847233e-02 7.183804e-03 2.943658e-02 3.634934e-03 2.991898e-02 1.108611e-02
0.001825 T17-2433 7.529236e-03 3.764618e-03 1.096720e-02 5.483601e-03 1.581172e-02 7.905862e-03 1.797715e-02 8.988577e-03 9.225662e-03 4.612831e-03 2.017839e-02 3.947861e-03 7.169293e-03 3.584646e-03
0.001825 T17-2515 2.197126e-03 1.098563e-03 0.000000e+00 9.900000e+01 1.306989e-02 6.534943e-03 2.975666e-02 9.984233e-03 1.189908e-02 5.949539e-03 3.745995e-02 3.555343e-03 3.108319e-02 9.462347e-03
0.001825 T17-2479 2.350995e-02 9.787628e-03 1.750263e-02 8.751315e-03 3.737216e-02 1.161485e-02 4.361266e-02 1.049033e-02 6.628378e-02 9.011506e-03 1.122868e-01 3.989963e-03 1.460126e-01 1.115895e-02
0.001825 T17-2518 9.515956e-03 4.757978e-03 0.000000e+00 9.900000e+01 7.328641e-03 3.664321e-03 1.603026e-02 8.015129e-03 1.094812e-02 5.474062e-03 3.030569e-02 3.733480e-03 2.942529e-02 9.654884e-03
0.001825 T17-2601 3.151765e-02 8.380908e-03 1.365098e-02 6.825492e-03 3.477461e-02 1.082010e-02 3.337035e-02 9.967600e-03 4.671131e-02 8.495751e-03 7.128450e-02 3.955738e-03 8.319672e-02 1.005988e-02
0.001825 T17-2600 1.388374e-02 6.941871e-03 0.000000e+00 9.900000e+01 1.759401e-02 8.797004e-03 3.169840e-02 9.714138e-03 5.517905e-02 8.084432e-03 7.608452e-02 3.405909e-03 9.280674e-02 1.020698e-02
0.001825 T17-2460 4.666129e-03 2.333065e-03 3.318591e-03 1.659295e-03 6.073066e-03 3.036533e-03 1.330147e-02 6.650734e-03 1.941135e-02 7.229934e-03 3.210274e-02 3.629885e-03 3.519584e-02 9.820473e-03
0.001825 T17-2371 2.887957e-02 9.849189e-03 3.657546e-02 1.596004e-02 3.576997e-02 1.230104e-02 4.247787e-02 1.032643e-02 7.001903e-02 7.683842e-03 1.124168e-01 4.959625e-03 1.206308e-01 1.328789e-02
0.001825 T17-2402 1.083362e-02 5.416812e-03 3.645395e-02 1.246624e-02 4.038855e-03 2.019427e-03 1.443356e-02 7.216782e-03 2.651137e-02 8.427074e-03 4.128196e-02 3.448905e-03 6.020704e-02 9.687057e-03
0.001825 T17-2279 4.216815e-03 2.108407e-03 3.856575e-03 1.928287e-03 9.925871e-03 4.962935e-03 2.601756e-02 9.430876e-03 2.539398e-02 7.649928e-03 3.709304e-02 3.523585e-03 4.044841e-02 9.317303e-03
0.001825 T17-2342 1.361385e-03 6.806925e-04 2.439832e-02 1.219916e-02 2.053654e-02 1.026827e-02 1.159195e-02 5.795976e-03 2.155833e-02 8.344590e-03 3.804362e-02 3.774210e-03 4.644384e-02 1.041800e-02
0.001825 T17-2352 7.460160e-03 3.730080e-03 2.414834e-02 1.207417e-02 1.709549e-02 8.547744e-03 2.111607e-02 8.811127e-03 3.527915e-02 7.563010e-03 8.776454e-02 3.605637e-03 1.068525e-01 1.024020e-02
0.001825 T17-2454 1.161937e-02 5.809683e-03 0.000000e+00 9.900000e+01 3.507496e-02 1.237001e-02 2.314549e-02 1.053931e-02 4.859400e-02 7.557399e-03 6.309632e-02 3.419198e-03 7.792402e-02 9.372729e-03
0.001825 T17-2545 0.000000e+00 9.900000e+01 0.000000e+00 9.900000e+01 9.900256e-03 4.950128e-03 1.489337e-02 7.446683e-03 2.839781e-02 7.955458e-03 4.463015e-02 3.615308e-03 4.781568e-02 9.028243e-03
0.001825 T17-2492 7.708263e-03 3.854131e-03 1.603607e-02 8.018037e-03 2.990936e-02 1.161631e-02 3.605644e-02 8.731200e-03 3.556912e-02 8.301647e-03 6.304249e-02 3.715936e-03 6.048070e-02 1.036417e-02
0.001825 T17-2517 2.176348e-02 8.369204e-03 2.563469e-02 1.249963e-02 5.506102e-02 1.062008e-02 6.331647e-02 1.113292e-02 8.403284e-02 7.826214e-03 1.418135e-01 4.509834e-03 1.730627e-01 1.096143e-02
0.001825 T17-2467 9.769362e-03 4.884681e-03 3.735247e-02 1.561116e-02 3.183503e-02 1.009630e-02 1.809444e-02 9.047222e-03 5.089115e-02 7.401947e-03 7.717865e-02 3.976953e-03 9.834177e-02 8.633186e-03
0.001825 T17-2459 6.248976e-03 3.124488e-03 0.000000e+00 9.900000e+01 1.271916e-02 6.359582e-03 0.000000e+00 9.900000e+01 1.302614e-02 6.513070e-03 3.004610e-02 3.435597e-03 5.557626e-02 9.922379e-03
0.001825 T17-2504 1.336891e-02 6.684457e-03 1.008034e-02 5.040170e-03 1.768425e-03 8.842126e-04 1.150226e-03 5.751128e-04 1.448888e-02 7.033019e-03 3.323541e-02 3.477843e-03 3.894763e-02 9.271661e-03
0.001825 T17-2475 3.492895e-03 1.746448e-03 2.353791e-02 1.176896e-02 1.407155e-02 7.035777e-03 5.576187e-03 2.788093e-03 1.727702e-02 7.414837e-03 3.279870e-02 3.551992e-03 4.822342e-02 9.020331e-03
0.001825 T17-2668 1.865335e-02 9.281761e-03 1.768692e-02 8.843460e-03 4.803941e-02 1.157606e-02 1.937202e-02 9.686012e-03 4.955420e-02 8.123390e-03 6.960904e-02 3.407281e-03 6.246499e-02 9.100010e-03
0.001825 T17-2627 1.337299e-02 6.686494e-03 2.205651e-02 1.102826e-02 1.053803e-02 5.269015e-03 3.230519e-03 1.615259e-03 6.813799e-03 3.406899e-03 2.330585e-02 3.790129e-03 4.954531e-02 9.617710e-03
0.001825 T17-2662 5.385839e-03 2.692920e-03 0.000000e+00 9.900000e+01 8.648771e-03 4.324386e-03 1.268254e-02 6.341270e-03 5.972850e-03 2.986425e-03 3.707526e-02 3.689306e-03 5.267725e-02 1.004376e-02
0.001825 T17-2755 3.448625e-03 1.724312e-03 4.480432e-03 2.240216e-03 1.038050e-02 5.190250e-03 1.543137e-02 7.715687e-03 2.662636e-02 8.302723e-03 4.483458e-02 3.724438e-03 6.915860e-02 1.034943e-02
0.001825 T17-2744 4.417983e-04 2.208991e-04 0.000000e+00 9.900000e+01 2.074104e-02 1.037052e-02 2.208208e-02 1.104104e-02 1.745758e-02 7.732940e-03 3.022813e-02 3.775462e-03 3.749622e-02 9.281337e-03
0.001825 T17-2794 7.540888e-03 3.770444e-03 0.000000e+00 9.900000e+01 2.411491e-02 1.205746e-02 1.458140e-02 7.290700e-03 2.631184e-02 8.897547e-03 4.563980e-02 4.594150e-03 5.813440e-02 9.870437e-03
0.001825 T17-2772 1.524252e-02 7.621259e-03 5.460624e-03 2.730312e-03 1.489779e-02 7.448895e-03 2.652129e-02 9.236596e-03 3.549004e-02 8.170032e-03 4.227060e-02 3.696682e-03 7.327179e-02 9.219668e-03
0.001825 T17-2756 2.761116e-02 8.137592e-03 1.608311e-02 8.041554e-03 1.446917e-02 7.234586e-03 3.257346e-02 9.775282e-03 4.679966e-02 8.132895e-03 6.616161e-02 3.444802e-03 6.464896e-02 9.322899e-03
0.001825 T17-2759 5.043314e-02 8.960688e-03 4.256083e-02 1.296534e-02 1.062088e-01 1.149664e-02 9.974457e-02 1.044353e-02 1.568875e-01 7.661163e-03 2.225127e-01 5.116304e-03 2.379526e-01 9.702531e-03
0.001825 T17-2778 0.000000e+00 9.900000e+01 6.849659e-03 3.424829e-03 5.370853e-03 2.685426e-03 3.620404e-03 1.810202e-03 1.749281e-02 7.034674e-03 2.312743e-02 4.138882e-03 2.805443e-02 8.831014e-03
0.001825 T17-2631 5.048752e-03 2.524376e-03 4.414119e-03 2.207060e-03 9.889065e-03 4.944533e-03 1.258459e-02 6.292295e-03 1.863797e-02 8.373222e-03 4.421347e-02 3.450213e-03 3.986599e-02 8.956418e-03
0.001825 T17-2641 7.857051e-03 3.928525e-03 7.129794e-03 3.564897e-03 0.000000e+00 9.900000e+01 2.945953e-03 1.472976e-03 1.425401e-02 7.127007e-03 1.915839e-02 3.897369e-03 1.629448e-02 8.147242e-03
0.001825 T17-2659 3.027738e-03 1.513869e-03 2.969317e-03 1.484658e-03 1.403038e-02 7.015189e-03 1.380886e-03 6.904431e-04 1.281712e-02 6.408561e-03 2.921547e-02 3.691429e-03 3.452702e-02 1.041412e-02
0.001825 T17-2630 1.409926e-02 7.049629e-03 5.134900e-02 1.378274e-02 4.361753e-02 1.243443e-02 3.673905e-02 9.444646e-03 6.128942e-02 7.382677e-03 1.213315e-01 3.795533e-03 1.470639e-01 8.910742e-03
0.001825 T17-2618 1.560077e-02 7.800383e-03 2.740644e-02 1.281965e-02 1.877145e-02 9.385726e-03 3.000805e-02 1.069668e-02 5.701906e-02 7.451998e-03 9.757473e-02 3.397700e-03 1.184563e-01 9.597685e-03
0.001825 T17-2643 3.993951e-03 1.996976e-03 0.000000e+00 9.900000e+01 0.000000e+00 9.900000e+01 1.465846e-02 7.329229e-03 1.037403e-02 5.187014e-03 2.282674e-02 3.620166e-03 3.042314e-02 9.857517e-03
0.001825 T17-2705 4.532914e-03 2.266457e-03 1.822376e-02 9.111882e-03 2.267019e-02 1.133185e-02 2.268266e-02 9.583388e-03 4.012420e-02 8.486054e-03 3.884698e-02 3.690977e-03 4.273977e-02 1.103060e-02
0.001825 T17-2698 6.756070e-03 3.378035e-03 2.438870e-02 1.219435e-02 2.035473e-02 1.017736e-02 1.901535e-02 9.507673e-03 4.068645e-02 8.274542e-03 7.242828e-02 3.722063e-03 7.797172e-02 9.764395e-03
0.001825 T17-2723 6.412753e-03 3.206376e-03 3.008863e-03 1.504431e-03 0.000000e+00 9.900000e+01 1.783116e-02 8.915578e-03 1.398023e-02 6.990114e-03 2.576220e-02 3.539799e-03 3.754154e-02 9.810165e-03
0.001825 T17-2628 0.000000e+00 9.900000e+01 1.082509e-02 5.412543e-03 1.586877e-02 7.934385e-03 1.862729e-02 9.313643e-03 8.024181e-03 4.012090e-03 3.341958e-02 3.513901e-03 5.164883e-02 8.836055e-03
0.001825 T17-2650 8.606579e-03 4.303289e-03 1.195995e-03 5.979977e-04 2.630205e-02 1.137302e-02 3.768093e-02 8.634968e-03 4.883693e-02 7.493427e-03 5.986534e-02 3.769198e-03 6.723508e-02 8.607737e-03
0.001825 T17-2648 5.705305e-02 7.839424e-03 5.044229e-02 1.331329e-02 8.506142e-02 1.201074e-02 8.799819e-02 9.264229e-03 1.443860e-01 9.041199e-03 1.982159e-01 4.205508e-03 2.264783e-01 9.625590e-03
0.001825 T17-2671 1.171670e-02 5.858352e-03 4.369168e-03 2.184584e-03 1.843860e-02 9.219301e-03 7.933794e-03 3.966897e-03 9.316019e-03 4.658009e-03 2.464033e-02 3.673864e-03 1.480453e-02 7.402266e-03
0.001825 T17-2699 2.899957e-02 9.672602e-03 4.305212e-02 1.588774e-02 4.793510e-02 1.386842e-02 7.219906e-02 1.063241e-02 9.746137e-02 9.569856e-03 1.734729e-01 4.222728e-03 2.137625e-01 9.832631e-03
0.001825 T17-2701 2.145997e-02 8.413486e-03 2.273774e-02 1.136887e-02 4.162539e-02 1.444283e-02 3.133963e-02 1.173107e-02 5.534798e-02 9.229357e-03 8.456539e-02 4.317832e-03 7.983237e-02 1.078746e-02
0.001825 T17-2742 1.249589e-02 6.247946e-03 1.338155e-02 6.690774e-03 4.708498e-03 2.354249e-03 1.510956e-02 7.554782e-03 3.278441e-02 7.306760e-03 3.793666e-02 3.804646e-03 4.672351e-02 8.992932e-03
0.001825 T17-2800 9.810010e-03 4.905005e-03 0.000000e+00 9.900000e+01 2.117093e-02 1.058547e-02 1.138157e-02 5.690783e-03 1.898398e-02 7.750553e-03 3.468181e-02 3.638055e-03 3.879033e-02 1.012140e-02
0.001825 T17-2797 1.746234e-02 8.731171e-03 4.932572e-03 2.466286e-03 1.748838e-02 8.744190e-03 1.161710e-02 5.808549e-03 2.114239e-02 7.415998e-03 4.693723e-02 3.495071e-03 6.239411e-02 9.326620e-03
0.001825 T17-2799 2.015512e-02 8.033184e-03 2.210841e-02 1.105420e-02 3.288789e-02 1.146758e-02 2.956187e-02 9.863178e-03 1.050307e-01 7.643252e-03 1.825371e-01 3.683539e-03 2.608013e-01 9.074467e-03
0.001825 T17-2589 3.794573e-03 1.897287e-03 1.480367e-02 7.401836e-03 2.709656e-02 1.073470e-02 5.102979e-03 2.551490e-03 2.614865e-02 7.317507e-03 3.466387e-02 3.304620e-03 3.160750e-02 8.798910e-03
