       id  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.stellar.metallicity  bayes.stellar.metallicity_err           bayes.sfh.sfr       bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err             bayes.F0378         bayes.F0378_err             bayes.F0395         bayes.F0395_err             bayes.F0410         bayes.F0410_err             bayes.F0430         bayes.F0430_err             bayes.F0515         bayes.F0515_err             bayes.F0660         bayes.F0660_err             bayes.F0861         bayes.F0861_err      best.chi_square  best.reduced_chi_square  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs      best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young              best.F0378              best.F0395              best.F0410              best.F0430              best.F0515              best.F0660              best.F0861 
 T17-2421        6318.4091431685065            2580.6381662678514       0.013483686287453271           0.010630231372995354  2.0841098858756707e-05  2.8267587732574095e-05     484713.0195619586        201130.68157871536    0.004792887486852255   0.0009929097600496041   0.0056032379611952845   0.0013636221639607806    0.008887272796947867   0.0013017865228094466    0.010301862630122938   0.0011178707955528137    0.017204287982975887    0.000583941998275948    0.027617764360849957   0.0016278264528991986    0.038536434793875494   0.0037339494080160457    5.520746989070048       0.9201244981783413       10000.0                20.0            10000.0               0.0                50.0              500.0        8997.265895050206               1.0                     0.004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1097972.3950691123   9.069578320707077e-11     9.9787868872621e-11   9.147590160244978e-11  1.5635015455138161e+32   6.605760862375232e+29    6.605760861325995e+29     1.0492377532785118e+20   1.563501544742648e+32   7.711680095551606e+22    543836.157832956       543836.1577968945     3.606155036096341e-05    554136.2372361566        554136.2371815224     5.4634232846107344e-05  1.4444932808076458e+47   1.444493280598578e+47   2.0906777414761135e+37    0.004844758198430592    0.005269886906076386    0.008623873077251612    0.009990482969590925    0.017329488880552083    0.028322330315134883    0.039540836035528354 
 T17-2433         5174.689901291798            2515.8732731330956       0.003308790960514496            0.00683345993587118   1.064196958594488e-05  1.0612802878003792e-05    117551.81501367106        50244.390790278834    0.003045840665451378   0.0005964739837154027   0.0039073635335231055   0.0009200660990489187    0.005265527849155531   0.0009476019125154548    0.005690560904904091    0.000872632010712014    0.008500711961068469   0.0009578688094041088    0.011796857251512857   0.0007071925626445288    0.014924953422382446    9.52986219924612e-05   12.611610735515065       2.1019351225858443        5000.0                20.0             5000.0               0.0                50.0             5000.0         1906.47974854587               1.0                    0.0004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    97557.16070018371  2.7167816314409375e-05  2.7165959823839195e-05  2.7167795916690044e-05   6.965385999860555e+31   1.016765272553878e+29    1.016419996631474e+29      3.452759224038504e+25   6.962518269990346e+31  2.8677298702096278e+28   43346.43821743372       43335.27170157217        11.166515861548543    54210.72248274996        54194.72118229709         16.001300452860836  2.2522245779790928e+46  2.2514643309490032e+46    7.602470300897379e+42   0.0036814579341797387    0.005079304328999887    0.006456063316526775    0.006791004919412578    0.009456729134996062    0.012240759517495021     0.01488539544080207 
 T17-2515         7752.990141772989            2413.1294163162333       0.022497604444783093           0.008482638758285038   8.443791022796176e-06   1.718394579178857e-05     796201.0916571795        266553.12317671586    0.003487751589790524   0.0006612288051613247    0.003947398490240022   0.0007789373809877182    0.007171304551477582   0.0008639649937478695    0.008813752967350725    0.000774127708378387    0.016439650145694436  0.00037128615082665224    0.029607052415552795   0.0014985378169343957     0.04306351148286402   0.0030887106210316416    9.929696908758077       1.6549494847930128       13000.0                20.0            13000.0               0.0                50.0             2000.0        9070.115480593535               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1744043.6001990158   8.622559914667234e-06   8.805607568431197e-06   8.638996997674266e-06  1.8543686355616153e+32    8.28811075130103e+29    8.288043348366404e+29      6.740293462620195e+24  1.8543257116979435e+32   4.292386367212474e+27   713699.2371555063       713696.5500209344        2.6871345718068973   1030344.3630435064       1030338.4276181634          5.935425342860338  1.4766318046285928e+47  1.4766260364829072e+47    5.768145685528004e+41   0.0029914163342817557   0.0034400615106381545    0.006567713952254423    0.008340878428914395    0.016263077079129228    0.030757873567184502      0.0453373441085456 
 T17-2479         5882.922667721924            2430.2907717877733       0.013717781132974331           0.010043846497141292  0.00010101071375014912  0.00011861967525164228      1759462.35591699         557374.0133268016     0.01892294057921725   0.0030048030485213297    0.022016674401384086    0.004132590685398875     0.03522076114921825    0.004344337116899766     0.04086258528919709    0.003981674997802741     0.06773373636034737    0.002457508305891557     0.10816049549971572    0.003203631823071063     0.15162631094417336    0.007178322097214962   0.6979392258277567      0.11632320430462612        8000.0                20.0             8000.0               0.0                50.0             5000.0       3346.6961583906386               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    2440942.233535353  0.00033200274332116793   0.0003332294970448864   0.0003321147234817064   6.346944653447912e+32   1.416775812383011e+30   1.4165162843608776e+30      2.595280221333204e+26   6.345291914512593e+32  1.6527389353187473e+29   896144.9842138793       896041.5188789509        103.46533492860878    1544797.249321469       1544568.7119130767          228.5374083925592  1.4250855773939685e+47  1.4248634809156113e+47    2.220964783571889e+43    0.018690110336743698     0.02224594587796632      0.0360511237917238     0.04281369240004371     0.06933959432868544     0.10894077331472976     0.14834154952460576 
 T17-2518         6155.075870321796             2622.457960765514       0.012190945710473189           0.010672884142132823  2.0796499828528913e-05  2.6957269696524055e-05    433198.23789296736        200152.77660134097    0.004805317971489203    0.001220399964001818    0.005719181387343873   0.0017196214454127258    0.008815505582478778    0.001706697087548047    0.010097720249846119   0.0015027044134171847    0.016537788017669256   0.0010560589133156936     0.02600241516706193   0.0010140031603574095     0.03597597207922927    0.003079109429133764    3.792254248932465       0.6320423748220775       13000.0                20.0            13000.0               0.0                50.0              500.0       11998.081079763588               1.0                    0.0004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    985839.4838257128   2.624148134058845e-13   2.890641353047828e-13   2.646995737132919e-13   1.300485283948446e+32    5.46834620114003e+29    5.468346201136695e+29     3.3350312628216403e+17  1.3004852839456759e+32   2.769949524395188e+20  502415.11069331196      502415.11069320416    1.0785773660608665e-07    483424.3731324011       483424.37313224655     1.5455707679979785e-07   1.197055636175978e+47  1.1970556361752436e+47     7.34325056657442e+34    0.006453642054948904    0.007441067660078099    0.010183649047805745    0.011352639215618509     0.01787692348618344    0.025747469121852096      0.0315350684338108 
 T17-2601         5573.452195023407             2665.734438186933       0.005505083451724999           0.007906426841458723   6.802859973306755e-05    7.77525628212442e-05     795967.7847597699         278873.3630398773    0.016341382144938986   0.0023579803921330027     0.02023382697844363   0.0036186139830086733    0.028492935496488073   0.0032658814627345057    0.031376966969387646   0.0027197021892053823     0.04785377991238877    0.002266755405708327     0.06859272082557678   0.0017266437915361926     0.09015080305242647   0.0061929020203556045    3.859099715993678       0.6431832859989464       13000.0                20.0            13000.0               0.0                50.0              500.0       11998.081079763588               1.0                    0.0004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    2706063.766027085    7.20311196576058e-13   7.934618114205229e-13    7.26582711547176e-13   3.569745544667691e+32  1.5010246351233572e+30   1.5010246351224419e+30      9.154438838122956e+17  3.5697455446600875e+32   7.603327077752688e+20  1379096.0383080146      1379096.0383077187     2.960623080166914e-07    1326967.727719071       1326967.7277186469     4.2424888855936663e-07   3.285838045767494e+47   3.285838045765478e+47   2.0156734041480083e+35    0.017714817889048225     0.02042523545248178    0.027953438816694095     0.03116223901983071    0.049070965088827835     0.07067508899842657     0.08656166388950039 
 T17-2600          5832.50679260721            2552.0068422322292       0.012045388786683011           0.010443972692555911   7.152004408840374e-05   8.432697317641382e-05     1117014.666332068        403298.84422274784    0.013947820694762336    0.002966424686627218     0.01654460936747508    0.004174597026580202     0.02544265113905509    0.004154538345063662     0.02909738413970037    0.003713533116241555     0.04714490818652928    0.002844476424094797     0.07323031977465382   0.0017586754577731546     0.10097399636534468    0.006214193405830254   1.6538468197228562        0.275641136620476        6000.0                20.0             6000.0               0.0                50.0             5000.0       2361.9952045384343               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    1351611.247730179    0.000289641431000877  0.00029010611239127515  0.00028968473077729524   4.273556642868674e+32   8.878208472527114e+29    8.875944332569608e+29      2.264139957506474e+26   4.272114782281896e+32  1.4418605867768641e+29  478191.33948148374       478101.0756259266          90.2638555571133    873419.9082486919        873220.5306732482          199.3775754437637   8.694898532855069e+46   8.692960948208384e+46   1.9375846466847564e+43     0.01379724011557211     0.01655656874742019    0.026285261112525132    0.030935880741057065    0.048617979911891006     0.07385449938843158     0.09879909686764282 
 T17-2460         7282.293146504326            2464.5371171999655        0.01886149184055575           0.009776794337352797  1.1372488213978668e-05  2.0309745220057397e-05     673830.5312099652        238220.34838280827    0.003881710288676387   0.0006982799943504351    0.004393387184361074   0.0008354454785648348    0.007670069672286453   0.0008892694455013565     0.00924606779806032   0.0007809011456379858    0.016669526968705863  0.00037016232252938487    0.028974439357207345    0.001607534583485761     0.04164870037391448   0.0032074105664437295   1.8551946617873973      0.30919911029789954        5000.0                20.0             5000.0               0.0                50.0              500.0       3991.9446802566727               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    961871.4322603804   8.753892458148537e-07   9.581906059226388e-07   8.825198228303096e-07   1.790420794124738e+32   4.692504417517842e+29   4.6924975745611455e+29       6.84295669639495e+23  1.7904164363598724e+32  4.3577648655690414e+26   368670.7224448148      368670.44963851024         0.272806304565741    593200.7098155654        593200.1072326242         0.6025829412491128   5.215385163018942e+46   5.215379307017069e+46    5.856001873429056e+40   0.0034926788729014667    0.003928915177068892   0.0071817091850585974    0.008955254585632332     0.01676480721312218    0.030042072901156076    0.043523519097071306 
 T17-2371        5877.0715061007295            2696.9377755083547      0.0057977193520051765           0.008513213489205114   9.073975946603805e-05  0.00011402980507775606    1238993.6739962297         424361.7534459936    0.023890019631756767   0.0035816922239755053     0.02937558221507426   0.0054094993131356735     0.04147020599795827    0.004759015003872857     0.04581075725911791    0.003894428944354579      0.0704858977429707   0.0031609522759026487     0.10175197143023727   0.0028606301302971514     0.13317961763926647    0.010034208022458586     1.15413931163161      0.19235655193860168       13000.0                20.0            13000.0               0.0                50.0              500.0       11998.081079763588               1.0                    0.0004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    3991760.700042263  1.0625433008602453e-12  1.1704490173425895e-12  1.0717945192926141e-12   5.265792385696808e+32  2.2141869764870588e+30   2.2141869764857083e+30     1.3503868476318093e+18   5.265792385685592e+32  1.1215797129237561e+21  2034328.0289304212      2034328.0289299847    4.3672654751957804e-07    1957432.671111843       1957432.6711112172      6.258167533406673e-07   4.846995603897041e+47  4.8469956038940675e+47   2.9733541314923665e+35    0.026131429253689133     0.03012961231435766     0.04123459317565784     0.04596794894723066     0.07238541545615902     0.10425402619026265     0.12768858309339512 
 T17-2402         8722.796328190512             2176.208721777952        0.02494047061735131           0.007216387406761382    3.51788819606587e-06   9.985296555570267e-06    1220956.9173857337         330163.5043080247    0.003924600304844281   0.0006977157240138693    0.004429480090826846   0.0007530326184828992    0.008435704919953935   0.0008829651592441411    0.010588107454854593   0.0007753946371310752     0.02058811270636258  0.00041564337100679244     0.03858799206444559   0.0013905476820523072     0.05686106118982023   0.0030205610604659345   11.845725976172384       1.9742876626953973       13000.0                20.0            13000.0               0.0                50.0              500.0       11997.810659104722               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    3115742.100491887   8.293610626636091e-13   9.135861475300996e-13   8.365820392993761e-13  2.4530322772701212e+32  1.3416278967572736e+30   1.3416278967566253e+30      6.483152340077421e+17  2.4530322772659927e+32  4.1286325106521604e+20  1308401.6899886446      1308401.6899883861     2.584620815684872e-07   1807340.4105032445       1807340.4105026738       5.70898981095122e-07  2.8589366828638682e+47   2.858936682863313e+47    5.548091845915156e+34    0.002942311145189377   0.0034278220281357737    0.007128361576526916    0.009398364099610396     0.01977874706029062     0.04024065440336226     0.06077915311556287 
