# id redshift F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
T17-2421 1.825000e-03 4.353464e-06 2.176732e-06 5.555671e-06 2.777836e-06 3.622382e-06 1.811191e-06 9.944105e-06 4.972052e-06 2.142684e-05 5.406170e-06 2.394177e-05 2.956414e-06 2.602189e-05 9.642096e-06
T17-2479 1.825000e-03 1.555942e-05 6.477674e-06 1.177097e-05 5.885484e-06 2.551938e-05 7.931138e-06 3.034467e-05 7.298928e-06 4.917519e-05 6.685536e-06 9.038450e-05 3.211694e-06 1.261074e-04 9.637707e-06
T17-2601 1.825000e-03 1.982152e-05 5.270771e-06 8.741290e-06 4.370645e-06 2.265188e-05 7.048122e-06 2.220026e-05 6.631135e-06 3.339898e-05 6.074533e-06 5.586142e-05 3.099876e-06 7.056488e-05 8.532480e-06
T17-2460 1.825000e-03 3.125500e-06 1.562750e-06 2.257775e-06 1.128888e-06 4.193295e-06 2.096647e-06 9.353146e-06 4.676573e-06 1.452683e-05 5.410653e-06 2.600472e-05 2.940376e-06 3.052780e-05 8.517979e-06
T17-2371 1.825000e-03 1.909198e-05 6.511195e-06 2.457174e-05 1.072211e-05 2.440031e-05 8.391093e-06 2.952634e-05 7.177891e-06 5.190470e-05 5.695988e-06 9.043647e-05 3.989892e-06 1.041448e-04 1.147190e-05
T17-2402 1.825000e-03 7.330132e-06 3.665066e-06 2.504245e-05 8.563827e-06 2.814812e-06 1.407406e-06 1.023945e-05 5.119726e-06 1.998537e-05 6.352678e-06 3.361789e-05 2.808610e-06 5.240889e-05 8.432368e-06
T17-2279 1.825000e-03 2.732021e-06 1.366011e-06 2.541135e-06 1.270567e-06 6.645818e-06 3.322909e-06 1.776702e-05 6.440211e-06 1.855174e-05 5.588705e-06 2.952564e-05 2.804734e-06 3.467130e-05 7.986544e-06
T17-2342 1.825000e-03 8.999143e-07 4.499572e-07 1.638957e-05 8.194784e-06 1.400771e-05 7.003855e-06 8.056905e-06 4.028452e-06 1.598000e-05 6.185384e-06 3.060364e-05 3.036109e-06 4.009528e-05 8.993928e-06
T17-2352 1.825000e-03 4.932889e-06 2.466445e-06 1.622642e-05 8.113212e-06 1.166392e-05 5.831958e-06 1.468053e-05 6.125761e-06 2.615628e-05 5.607284e-06 7.061229e-05 2.900970e-06 9.225648e-05 8.841397e-06
T17-2511 1.825000e-03 1.899456e-05 5.019441e-06 4.271214e-06 2.135607e-06 3.763813e-05 7.346740e-06 3.900394e-05 6.504648e-06 5.987428e-05 5.614609e-06 9.098888e-05 2.917471e-06 1.067150e-04 8.054462e-06
T17-2492 1.825000e-03 5.206939e-06 2.603470e-06 1.099882e-05 5.499408e-06 2.081327e-05 8.083535e-06 2.554231e-05 6.185165e-06 2.678170e-05 6.250709e-06 5.129430e-05 3.023458e-06 5.261647e-05 9.016526e-06
T17-2517 1.825000e-03 1.474722e-05 5.671082e-06 1.763515e-05 8.599001e-06 3.842646e-05 7.411633e-06 4.497649e-05 7.908209e-06 6.341540e-05 5.906054e-06 1.155756e-04 3.675438e-06 1.507266e-04 9.546709e-06
T17-2467 1.825000e-03 6.587107e-06 3.293553e-06 2.557412e-05 1.068849e-05 2.211573e-05 7.013881e-06 1.279740e-05 6.398701e-06 3.826754e-05 5.565884e-06 6.273556e-05 3.232712e-06 8.549874e-05 7.505728e-06
