Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75,Field
mag_F378,19.6368,0.0224,0.0332,19.6373,0.0487,19.6373,19.6368,0.0487,100,19.507,19.7771,19.6141,19.657,CenA20
mag_F395,19.4709,0.0312,0.0463,19.4759,0.0484,19.4759,19.4709,0.0484,100,19.3639,19.5888,19.448,19.5111,CenA20
mag_F410,20.6451,0.012,0.0178,20.6445,0.0177,20.6445,20.6451,0.0177,100,20.6016,20.6822,20.6332,20.6573,CenA20
mag_F430,20.8619,0.0127,0.0188,20.8632,0.0201,20.8632,20.8619,0.0201,100,20.8161,20.9092,20.8507,20.8762,CenA20
mag_F515,21.0345,0.0072,0.0106,21.0331,0.0138,21.0337,21.035,0.0127,100,20.9774,21.0623,21.0266,21.0414,CenA20
mag_F660,20.574,0.0093,0.0138,20.5755,0.0141,20.5746,20.5735,0.0127,100,20.549,20.625,20.5665,20.5838,CenA20
mag_F861,21.0917,0.0112,0.0166,21.0921,0.0146,21.0921,21.0917,0.0146,100,21.0604,21.1325,21.0802,21.1012,CenA20
mag_F378,19.1449,0.0438,0.065,19.1448,0.0685,19.1448,19.1449,0.0685,100,18.9746,19.3337,19.1006,19.1881,CenA11
mag_F395,19.2962,0.0422,0.0625,19.3031,0.0622,19.2994,19.2946,0.057,100,19.1448,19.4921,19.2588,19.3443,CenA11
mag_F410,20.2969,0.0201,0.0298,20.2992,0.0282,20.2992,20.2969,0.0282,100,20.2233,20.375,20.2832,20.3191,CenA11
mag_F430,20.4105,0.0165,0.0244,20.4094,0.0299,20.4114,20.4109,0.0265,100,20.2973,20.488,20.3951,20.4283,CenA11
mag_F515,20.6928,0.015,0.0222,20.6902,0.0262,20.6926,20.6933,0.0199,100,20.5356,20.7336,20.6776,20.7071,CenA11
mag_F660,20.3913,0.012,0.0179,20.3905,0.0178,20.3912,20.3913,0.0166,100,20.3234,20.4287,20.3768,20.4011,CenA11
mag_F861,21.0906,0.0104,0.0154,21.0935,0.017,21.0929,21.0905,0.016,100,21.0457,21.1532,21.0818,21.1034,CenA11
mag_F378,19.5219,0.037,0.0549,19.5231,0.0594,19.5213,19.5218,0.0567,100,19.3599,19.7071,19.4884,19.5601,CenA03
mag_F395,19.5977,0.037,0.0548,19.5929,0.0541,19.5903,19.5972,0.048,100,19.4549,19.8455,19.5556,19.6236,CenA03
mag_F410,20.6213,0.0124,0.0184,20.6219,0.0314,20.6186,20.6209,0.0192,100,20.5672,20.8467,20.6056,20.6327,CenA03
mag_F430,20.7434,0.0116,0.0172,20.745,0.0294,20.7421,20.7431,0.0193,100,20.69,20.9526,20.7321,20.7551,CenA03
mag_F515,20.9775,0.0105,0.0156,20.9783,0.0204,20.9763,20.9772,0.015,100,20.9422,21.0808,20.9671,20.988,CenA03
mag_F660,20.6086,0.0066,0.0098,20.6105,0.0167,20.6084,20.6082,0.0105,100,20.5827,20.7218,20.6015,20.6144,CenA03
