ra,dec,flux_aperture,mag_inst,gaia_idx,gaia_G,gaia_BP,gaia_RP,gaia_Plx,gaia_pmRA,gaia_pmDE,gaia_e_Gmag,gaia_RUWE,distance_arcsec
202.17680940665176,-45.53680081395548,2.9885033593264456,18.811365629080896,6319,18.836843,19.423018,18.283707,0.5535,-7.059,2.322,0.003585,1.033,0.75141171270206
202.16381886443267,-45.53657871737276,15.812883576088007,17.002472316466847,6323,17.258646,17.608522,16.75179,0.2453,-6.112,-2.776,0.002919,0.99,0.1683176069722473
201.89729638134338,-45.53455183841648,4.816632543599778,18.29314121083351,5635,18.339535,18.78223,17.697742,0.3393,-10.406,-6.806,0.00339,1.085,0.1771101578258084
202.38615375724686,-45.53744332205527,6.114364495910267,18.034121688032222,6597,16.414198,16.963423,15.728441,1.037,-21.511,-7.648,0.002839,0.947,0.9173217873082615
201.99244833807552,-45.53518486796118,48.167359331515144,15.793117905655873,5590,16.153088,16.511038,15.628735,0.4285,-9.274,0.472,0.002814,0.953,0.1992183873014163
202.25157167086235,-45.536833178324905,2.8432667294452307,18.865455992054237,6369,17.723074,18.865458,16.62147,2.2635,-18.457,-18.746,0.00308,1.076,0.11973033342900316
202.37743199690425,-45.53667527069141,8.409967799485905,17.688014167606568,6118,18.860119,19.357416,18.306452,0.2281,-17.959,-8.222,0.003739,1.032,0.6802031600408691
201.8395870780294,-45.53330679594593,25.202227366591977,16.496402686705274,5656,16.622822,17.079294,16.012798,0.5705,-5.442,0.738,0.002843,1.096,0.08637156708395183
202.56304097430092,-45.53718447155081,5.099120649742096,18.23126178026921,5266,18.54587,18.8955,18.014648,0.2466,-3.671,-2.756,0.003476,0.959,0.19287294189227164
202.59498075646007,-45.53724679858578,9.292715181223794,17.579643434074125,5325,17.040237,17.675463,16.286692,0.7914,3.93,-5.622,0.002895,1.058,0.3679382795573856
